yours,see the note under your . ,that or those belonging to you  .   done by you  .   or having to do with you . 
yourself,an emphasized or reflexive form of the pronoun of the second person ;     used as a subject commonly with you ;  as  you yourself shall see it ;  also alone in the predicate either in the nominative or objective case ;  as you have injured yourself . ,  your own self .  
yourself,an emphasized or reflexive form of the pronoun of the second person ;     used as a subject commonly with you ;  as  you yourself shall see it ;  also alone in the predicate either in the nominative or objective case ;  as you have injured yourself . ,used to emphasize you ;  your own self .  
yourself,an emphasized or reflexive form of the pronoun of the second person ;     used as a subject commonly with you ;  as  you yourself shall see it ;  also alone in the predicate either in the nominative or objective case ;  as you have injured yourself . ,used to emphasize you 
youth,of youth,the quality or state of being young .  
youth,of youth,the quality or state of being young .  
yowl,  to yell . ,to make a loud  .   sad cry .  
yowl,  to yell . ,to make a loud  .   sad cry .  
yule,  the feast of the nativity of our savior . , christmas or the christmas season . 
yule,  the feast of the nativity of our savior . , christmas or the christmas season . 
yule,  the feast of the nativity of our savior . , christmas or the christmas season . 
yule,  the feast of the nativity of our savior . , christmas or the christmas season . 
yuletide,  the season of christmas . , the christmas holiday season . 
yuletide,  the season of christmas . , the christmas holiday season . 
z,z  the twenty sixth and last letter of the english alphabet is a vocal consonant .  it is taken from the latin letter z which came from the greek alphabet this having it from a semitic source .  the ultimate origin is probably egyptian .  etymologically it is most closely related to s y and j ;  as in glass glaze ;  e .  yoke gr .   l .  yugum ;  e .  zealous jealous .  see guide to pronunciation,the twenty sixth and last letter of the english alphabet . 
z,z  the twenty sixth and last letter of the english alphabet is a vocal consonant .  it is taken from the latin letter z which came from the greek alphabet this having it from a semitic source .  the ultimate origin is probably egyptian .  etymologically it is most closely related to s y and j ;  as in glass glaze ;  e .  yoke gr .   l .  yugum ;  e .  zealous jealous .  see guide to pronunciation,the twenty sixth and last letter of the english alphabet . 
zeal,  fervor . ,great enthusiasm for a person or cause . 
zeal,  fervor . ,great enthusiasm for a person or cause . 
zebra,either one of two species of south african wild horses remarkable for having the body white or yellowish white  and conspicuously marked with dark brown or brackish bands . ,a large mammal with a striped coat  .   long legs  .   and hooves .  zebras are closely related to horses but have shorter manes .  they live in large herds in africa .  several kinds of zebras are in danger of becoming extinct . 
zebra,either one of two species of south african wild horses remarkable for having the body white or yellowish white  and conspicuously marked with dark brown or brackish bands . ,a large mammal with a striped coat  .   long legs  .   and hooves .  zebras are closely related to horses but have shorter manes .  they live in large herds in africa .  several kinds of zebras are in danger of becoming extinct . 
zenith,     opposed to nadir . ,the point in the sky that is directly over the head of the person looking at it .  
zenith,     opposed to nadir . ,the point in the sky that is directly over the head of the person looking at it .  
zero,a cipher ;  nothing ;  naught . ,the number represented by the arabic numeral  .  
zero,a cipher ;  nothing ;  naught . ,the number represented by the arabic numeral  .  
zest,to give a relish or flavor to ;  to heighten the taste or relish of ;  as  to zest wine . ,a sense of great pleasure or enjoyment . 
zest,to give a relish or flavor to ;  to heighten the taste or relish of ;  as  to zest wine . ,a sense of great pleasure or enjoyment . 
zeus,the chief deity of the greeks  and ruler of the upper world  .  he was identified with jupiter . ,the ruler of the gods  .   in greek mythology .  in roman mythology  .   zeus is called jupiter . 
zeus,the chief deity of the greeks  and ruler of the upper world  .  he was identified with jupiter . ,the ruler of the gods  .   in greek mythology .  in roman mythology  .   zeus is called jupiter . 
zigzag,to move in a zigzag manner ,a line or course that moves back and forth to form a series of sharp angles .  
zigzag,to move in a zigzag manner ,a line or course that moves back and forth to form a series of sharp angles .  
zinc,an abundant element of the magnesium cadmium group  extracted principally from the minerals zinc blende smithsonite calamine and franklinite as an easily fusible bluish white metal which is malleable especially when heated .  it is not easily oxidized in moist air and hence is used for sheeting coating galvanized iron etc .  it is used in making brass britannia,a bluish white metal that is one of the chemical elements .  zinc does not rust easily .  it can be combined with other metals to form alloys .  zinc is also used in making batteries .  
zinc,an abundant element of the magnesium cadmium group  extracted principally from the minerals zinc blende smithsonite calamine and franklinite as an easily fusible bluish white metal which is malleable especially when heated .  it is not easily oxidized in moist air and hence is used for sheeting coating galvanized iron etc .  it is used in making brass britannia,a bluish white metal that is one of the chemical elements .  zinc does not rust easily .  it can be combined with other metals to form alloys .  zinc is also used in making batteries .  
